customer_hash,R,F,M,cluster_id,cluster_name
a08d96b5,544,1,54.2,1,Lapsed one-time
d8d7aa02,525,2,107.13,2,Loyal core (repeat buyers)
ffc012cf,588,1,54.62,1,Lapsed one-time
6e2b43bd,622,1,100.27,1,Lapsed one-time
1dee66f4,284,2,149.5,2,Loyal core (repeat buyers)
36092d09,207,1,55.4,0,Recent one-time
dd6b621a,352,1,97.15,0,Recent one-time
da13fa58,297,1,68.63,0,Recent one-time
28b8d9b3,347,1,98.74,0,Recent one-time
3fe1e8a3,225,1,33.31,0,Recent one-time
d695405e,385,1,163.09,0,Recent one-time
0e2b97c7,243,1,144.19,0,Recent one-time
ed8bbe78,585,2,178.36,2,Loyal core (repeat buyers)
68eafdb4,1054,1,107.83,1,Lapsed one-time
8f5e5249,774,1,191.03,1,Lapsed one-time
cbb8494b,1093,1,54.38,1,Lapsed one-time
8e43fd90,563,1,130.61,0,Recent one-time
1582b477,141,1,102.53,0,Recent one-time
41aec783,327,2,115.32,2,Loyal core (repeat buyers)
0c1b4d75,158,1,54.56,0,Recent one-time
a926d37c,246,1,81.4,0,Recent one-time
0e6e1479,695,1,36.56,1,Lapsed one-time
db42d57d,525,1,32.82,1,Lapsed one-time
5f6fca18,212,1,197.05,0,Recent one-time
61d3f754,1024,1,50.87,1,Lapsed one-time
baf43874,390,1,170.54,0,Recent one-time
4590fb6f,596,1,98.92,1,Lapsed one-time
ddf6a035,1040,1,57.66,1,Lapsed one-time
c5461eec,505,2,261.17,2,Loyal core (repeat buyers)
139c03d3,352,2,149.72,2,Loyal core (repeat buyers)
8553ff9c,961,2,140.39,2,Loyal core (repeat buyers)
bb530430,395,1,89.76,0,Recent one-time
1f5414c8,358,1,45.56,0,Recent one-time
1b283dd2,568,1,139.51,0,Recent one-time
999b4d71,803,1,97.57,1,Lapsed one-time
36c261b8,602,1,33.76,1,Lapsed one-time
0b1fe9a7,246,1,79.25,0,Recent one-time
384a6625,277,1,46.39,0,Recent one-time
4a4b052b,372,1,53.86,0,Recent one-time
cb0a0491,956,1,85.9,1,Lapsed one-time
11665348,326,1,75.46,0,Recent one-time
4a74bf77,179,1,95.25,0,Recent one-time
cf89e9c5,923,1,143.67,1,Lapsed one-time
f9ffedea,88,1,394.4,0,Recent one-time
